iter	Passed	Remaining
0	143	143466
1	147	73590
2	151	50215
3	154	38542
4	158	31572
5	162	26857
6	165	23497
7	169	20958
8	173	19083
9	177	17538
10	181	16323
11	185	15271
12	189	14397
13	193	13621
14	197	12944
15	200	12338
16	204	11828
17	208	11360
18	211	10929
19	215	10540
20	218	10188
21	222	9907
22	226	9611
23	230	9357
24	233	9114
25	237	8883
26	240	8682
27	244	8486
28	248	8304
29	251	8136
30	255	7977
31	259	7837
32	262	7695
33	266	7558
34	269	7437
35	273	7319
36	277	7218
37	280	7108
38	284	7015
39	288	6919
40	291	6821
41	294	6725
42	298	6641
43	302	6565
44	305	6490
45	309	6415
46	312	6343
47	316	6273
48	319	6205
49	323	6139
50	326	6077
51	330	6024
52	334	5974
53	338	5921
54	341	5868
55	345	5815
56	348	5766
57	352	5721
58	355	5674
59	359	5626
60	362	5583
61	366	5545
62	370	5505
63	373	5462
64	377	5423
65	380	5388
66	384	5353
67	387	5316
68	391	5279
69	394	5244
70	398	5216
71	402	5184
72	405	5151
73	408	5117
74	412	5085
75	415	5054
76	419	5025
77	422	4998
78	426	4968
79	429	4944
80	433	4922
81	437	4894
82	440	4867
83	444	4843
84	447	4820
85	451	4797
86	454	4774
87	458	4755
88	462	4735
89	466	4716
90	469	4692
91	473	4670
92	477	4652
93	480	4631
94	483	4607
95	487	4588
96	491	4570
97	495	4560
98	499	4543
99	503	4531
100	507	4514
101	511	4500
102	514	4480
103	517	4460
104	521	4442
105	524	4423
106	528	4407
107	531	4389
108	535	4374
109	538	4357
110	542	4344
111	545	4326
112	549	4309
113	552	4293
114	555	4276
115	559	4261
116	562	4248
117	566	4232
118	569	4217
119	573	4204
120	576	4191
121	580	4175
122	583	4161
123	587	4148
124	591	4137
125	594	4126
126	598	4111
127	601	4098
128	605	4085
129	609	4075
130	612	4063
131	616	4050
132	619	4037
133	622	4025
134	626	4016
135	630	4005
136	633	3992
137	637	3980
138	640	3967
139	644	3958
140	647	3946
141	651	3933
142	655	3925
143	658	3917
144	662	3904
145	666	3895
146	670	3888
147	673	3876
148	676	3864
149	680	3853
150	683	3845
151	687	3836
152	691	3827
153	694	3817
154	698	3807
155	702	3800
156	706	3793
157	710	3785
158	714	3779
159	718	3772
160	722	3763
161	725	3755
162	729	3743
163	732	3735
164	736	3725
165	739	3714
166	742	3705
167	746	3696
168	750	3688
169	754	3681
170	757	3672
171	761	3663
172	765	3657
173	768	3649
174	772	3640
175	775	3631
176	779	3623
177	783	3618
178	787	3611
179	790	3603
180	794	3594
181	797	3586
182	801	3578
183	804	3569
184	808	3560
185	811	3551
186	815	3544
187	819	3539
188	822	3531
189	826	3521
190	830	3515
191	833	3507
192	836	3498
193	839	3489
194	843	3481
195	847	3474
196	850	3467
197	854	3459
198	857	3451
199	860	3443
200	864	3435
201	867	3428
202	871	3419
203	874	3411
204	878	3406
205	882	3399
206	885	3391
207	888	3384
208	892	3378
209	896	3370
210	899	3364
211	903	3356
212	906	3349
213	911	3346
214	914	3339
215	917	3331
216	920	3322
217	924	3314
218	927	3309
219	931	3301
220	934	3294
221	937	3286
222	941	3281
223	957	3317
224	961	3310
225	964	3304
226	968	3297
227	971	3289
228	975	3285
229	978	3276
230	982	3270
231	986	3264
232	989	3258
233	993	3252
234	997	3246
235	1000	3239
236	1004	3233
237	1007	3226
238	1011	3221
239	1015	3215
240	1019	3209
241	1022	3203
242	1026	3197
243	1029	3190
244	1033	3184
245	1036	3177
246	1039	3170
247	1043	3164
248	1046	3157
249	1050	3150
250	1053	3144
251	1056	3137
252	1060	3130
253	1063	3123
254	1066	3117
255	1070	3110
256	1087	3145
257	1091	3137
258	1094	3131
259	1097	3124
260	1101	3118
261	1104	3112
262	1108	3106
263	1111	3099
264	1114	3092
265	1118	3086
266	1121	3079
267	1125	3072
268	1128	3066
269	1131	3060
270	1135	3054
271	1139	3049
272	1142	3042
273	1145	3036
274	1149	3029
275	1152	3024
276	1156	3018
277	1160	3013
278	1163	3007
279	1167	3002
280	1171	2996
281	1174	2990
282	1178	2984
283	1181	2978
284	1184	2972
285	1188	2966
286	1191	2960
287	1195	2954
288	1198	2949
289	1202	2943
290	1205	2937
291	1209	2931
292	1212	2925
293	1216	2920
294	1219	2914
295	1222	2908
296	1226	2902
297	1229	2897
298	1233	2892
299	1236	2886
300	1240	2879
301	1243	2874
302	1247	2868
303	1250	2862
304	1253	2856
305	1256	2850
306	1260	2844
307	1263	2838
308	1267	2833
309	1270	2827
310	1274	2822
311	1277	2817
312	1281	2812
313	1284	2806
314	1287	2800
315	1291	2794
316	1294	2790
317	1298	2785
318	1301	2779
319	1305	2773
320	1308	2768
321	1312	2763
322	1315	2757
323	1319	2752
324	1322	2747
325	1326	2742
326	1329	2736
327	1332	2730
328	1336	2724
329	1339	2719
330	1343	2714
331	1346	2709
332	1350	2704
333	1353	2698
334	1356	2692
335	1360	2688
336	1363	2682
337	1366	2677
338	1370	2671
339	1373	2666
340	1377	2661
341	1380	2656
342	1383	2650
343	1386	2644
344	1390	2639
345	1393	2633
346	1397	2628
347	1400	2623
348	1403	2618
349	1407	2613
350	1410	2608
351	1414	2603
352	1417	2598
353	1421	2593
354	1424	2588
355	1428	2583
356	1431	2578
357	1434	2572
358	1438	2568
359	1441	2563
360	1445	2557
361	1448	2552
362	1451	2547
363	1455	2542
364	1459	2538
365	1462	2533
366	1466	2529
367	1470	2524
368	1473	2520
369	1477	2515
370	1480	2510
371	1484	2505
372	1487	2501
373	1492	2497
374	1495	2492
375	1498	2486
376	1502	2482
377	1505	2477
378	1509	2472
379	1512	2467
380	1515	2462
381	1519	2458
382	1523	2453
383	1526	2448
384	1529	2443
385	1533	2438
386	1536	2434
387	1540	2429
388	1543	2424
389	1546	2419
390	1550	2414
391	1553	2409
392	1557	2404
393	1560	2399
394	1563	2394
395	1567	2390
396	1570	2385
397	1573	2380
398	1576	2375
399	1580	2370
400	1583	2365
401	1587	2361
402	1590	2356
403	1594	2351
404	1597	2347
405	1600	2342
406	1604	2337
407	1607	2333
408	1611	2328
409	1614	2323
410	1618	2319
411	1621	2314
412	1625	2310
413	1629	2305
414	1632	2301
415	1635	2296
416	1639	2291
417	1642	2286
418	1645	2282
419	1649	2277
420	1652	2273
421	1656	2268
422	1659	2264
423	1663	2260
424	1667	2255
425	1670	2250
426	1673	2246
427	1677	2241
428	1680	2237
429	1684	2232
430	1687	2227
431	1690	2222
432	1694	2218
433	1697	2214
434	1700	2209
435	1704	2204
436	1707	2199
437	1711	2196
438	1715	2192
439	1719	2187
440	1722	2183
441	1726	2179
442	1729	2175
443	1733	2170
444	1736	2165
445	1740	2161
446	1743	2157
447	1747	2153
448	1750	2148
449	1754	2144
450	1757	2139
451	1761	2135
452	1764	2131
453	1768	2126
454	1771	2122
455	1775	2117
456	1778	2113
457	1782	2109
458	1785	2104
459	1788	2099
460	1792	2095
461	1795	2091
462	1799	2087
463	1802	2082
464	1806	2078
465	1810	2074
466	1813	2069
467	1816	2064
468	1819	2060
469	1823	2056
470	1826	2051
471	1830	2047
472	1833	2042
473	1836	2038
474	1840	2034
475	1844	2030
476	1847	2025
477	1850	2021
478	1854	2016
479	1858	2012
480	1861	2008
481	1864	2004
482	1868	1999
483	1871	1995
484	1875	1991
485	1878	1986
486	1881	1982
487	1884	1977
488	1888	1973
489	1892	1969
490	1895	1964
491	1898	1960
492	1902	1956
493	1906	1952
494	1909	1948
495	1913	1944
496	1916	1939
497	1920	1936
498	1924	1931
499	1927	1927
500	1930	1923
